nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1543726296,1543726345,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.117,0.527,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726345,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.163,0.517,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726345,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.17,0.517,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726346,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.732,0.52,TRUE,30001016;5065690,0.001,NA
mr-0xc11,1543726296,1543726347,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.729,0.52,TRUE,30001016;5065690,0.001,NA
mr-0xc11,1543726296,1543726347,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.241,0.527,TRUE,300.01;299.9804;5065.702,0.001,NA
mr-0xc11,1543726296,1543726348,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.234,0.527,TRUE,300.01;299.9804;5065.702,0,NA
mr-0xc11,1543726296,1543726349,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.775,0.521,TRUE,30001016;29998058;506570021,0.002,NA
mr-0xc11,1543726296,1543726350,groupby,G1_1e7_1e2_0_1,10000000,sum v1:v3 by id6,100000,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.771,0.521,TRUE,30001016;29998058;506570021,0.002,NA
mr-0xc11,1543726296,1543726351,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.133,0.526,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726352,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.151,0.528,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726352,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.448,0.572,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726353,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,2,0.456,0.578,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726354,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,dplyr,0.7.99.9000,22d6a33a1152f34be1b88926fe24ea6ff8912f20,group_by,1,0.72,0.547,TRUE,30001016;5065690,0.001,NA
